trial1,trial2,trial3
46.6,79.3,27.5
63.3,54.8,41.3
79.3,36.6,29
89.6,41.9,16.6
38.7,61.2,48.2
50,82.7,17.2
66.6,37.5,13.7
74.1,41.9,16.6
77.4,79.3,44.8
48.2,75.8,37.9
35.4,58.8,37.9
37.5,54.8,20.6
70,38.7,43.3
70,43.7,40
40,93.1,51.7
36.6,32.2,16.6
73.3,45.1,30
75.8,60,30
36.6,76.6,37.9
41.9,62,27.5
33.3,38.7,27.5
63.3,90,31.2
100,40,33.3
17.2,43.3,19.3
23.3,68.7,41.9
24.1,73.3,51.7
27.5,38.7,23.3
24.1,54.8,41.3
24.1,80,30
20.6,43.3,27.2
24.1,34.3,26.6
27.5,43.3,27.5
31,54.8,41.3
26.6,70,36.6
16.6,13.3,30
31,24.1,25.8
30,40,13.7
19.3,32.2,16.6
27.5,37.9,17.2
31,16.6,10
31,17.2,38.7
27.5,24.1,17.2
48.2,31,12.9
31,41.9,16.1
34.4,30,17.2
24.1,55.1,30
36.6,25.8,10
27.5,40,12.9
27.5,16.6,22.5
55.1,16.1,31
35.4,29,36.6
34.4,22.5,45.1
36.6,29,17.2
34.4,20,16.1
34.4,22.5,20
27.5,19.3,23.3
27.5,16.1,16.6
25.8,40,23.3
36.6,31,24.1
22.5,30,18.7
27.5,37.9,46.6
51.7,17.2,48.2
25.8,17.2,10
26.6,62,16.1
10,20,53.3
6.8,20,17.2
27.5,41.9,31
12.5,25.8,37.9
26.6,28.1,22.5
41.3,46.6,16.6
33.3,41.3,13.3
17.2,34.4,43.3
55.1,13.7,31
26.6,20.6,41.3
41.3,50,41.3
19.3,25.8,20
37.9,25,41.9
55.1,26.6,38.7
23.3,25.8,34.4
9.6,35.4,16.1
16.6,26.6,51.7
27.5,33.3,26.6
26.6,24.1,16.6
31,40,32.2
41.9,31,9.6
27.5,16.6,48.2
31,34.4,37.9
9.6,16.1,9.6
31,19.3,16.6
20,6.8,27.5
35.4,40,30
25,32.2,30
20,10,20
16.6,38.7,30
20.6,37.9,23.3
12.9,34.4,34.4
19.3,27.5,31
10,27.5,12.9
48.3,10,26.6
22.5,10.3,26.6
17.2,22.5,30
16.6,33.3,48.2
38.7,27.5,13.7
37.9,55.1,41.9
25.8,23.3,31
20,37.9,44.8
16.6,56.6,26.6
34.4,40,30
29,27.5,62
20,19.3,27.5
20.6,13.7,40
23.3,31,27.5
10,23.3,34.4
10.3,31,34.3
31,27.5,19.3
35.4,26.6,33.3
46.6,12.9,30
31,13.7,16.1
27.5,25.8,31
23.3,41.3,17.2
31,34.4,27.5
16.6,20,48.2
44.8,30,13.3
37.9,26.6,25.8
9.6,31,27.5
26.6,41.9,33.3
30,13.3,17.2
40,24.1,20
50,16.6,22.5
23.3,10.3,22.5
48.2,44.8,29
38.7,26.6,26.6
13.3,40,34.4
40,34.4,41.3
41.3,37.9,17.2
17.2,31,6.6
27.5,31,45.1
31.2,33.3,31
24.1,32.2,22.5
16.6,30,40
17.2,27.5,20.6
26.6,26.6,37.9
27.5,44.8,40
13.7,30,30
29,31,20
31,38.7,13.7
38.7,27.5,25.8
6.6,33.3,33.3
41.3,44.8,22.5
37.9,41.3,16.6
45.1,16.6,22.5
35.4,41.9,27.5
16.1,41.3,37.9
17.2,32.2,31
9.6,13.3,24.1
20,23.3,30
40,30,31
23.3,9.6,9.6
31,24.1,34.4
30,27.5,22.5
30,26.6,10.3
51.6,25.8,16.6
37.9,48.2,44.8
16.6,23.3,17.2
26.6,23.3,23.3
16.1,25.8,16.6
30,27.5,35.4
41.3,30,24.1
32.2,22.5,44.8
37.9,16.6,17.2
46.6,31,23.3
22.5,37.9,31
43.3,33.3,27.5
20.6,35.4,27.5
20.6,17.2,37.9
12.9,34.4,27.5
22.5,37.9,19.3
24.1,20,12.9
44.8,41.3,20.6
13.3,32.2,37.9
19.3,26.6,27.5
34.4,36.6,17.2
10,15.1,13.3
31,15.6,13.7
13.3,43.3,33.3
10.3,29,31
16.6,22.5,28.1
24.1,13.3,43.3
23.3,23.3,34.4
34.4,23.3,19.3
26.6,6.8,48.2
31,37.9,24.1
31,46.6,40
27.5,20.6,34.4
44.8,10,35.4
17.2,37.5,13.7
6.8,30,26.6
24.1,34.4,13.3
17.2,17.2,22.5
30,23.3,24.1
25.8,44.8,13.3
40,16.6,33.3
34.4,20,33.3
17.2,26.6,24.1
33.3,27.5,16.1
43.3,25.8,37.9
43.3,20,43.3
44.8,41.3,43.7
31,20.6,46.6
27.5,16.1,44.8
33.3,10.3,46.6
30,10.3,41.3
43.3,23.3,40
23.3,20.6,50
44.8,46.6,48.2
30,26.6,41.3
37.9,29,33.3
46.6,25.8,44.8
24.1,29,43.3
43.3,36.6,35.4
30,44.8,38.7
34.4,41.3,40
31,12.5,40
33.3,32.2,35.4
37.9,36.6,48.2
31,44.8,45.1
41.3,30,30
22.5,29,48.2
6.4,12.9,51.7
38.7,16.1,40
27.5,9.6,40
20,16.6,37.9
26.6,30,44.8
34.4,23.3,48.3
28.1,37.9,41.3
51.6,16.6,35.4
43.3,41.3,46.6
24.1,22.5,38.7
13.3,24.1,40
30,6.4,48.2
40,22.5,41.3
20.6,51.7,44.8
26.6,20.6,40
37.9,44.8,38.7
22.5,17.2,31
17.2,23.3,37.9
13.3,31,53.3
27.5,33.3,40
16.6,27.5,35.4
34.4,32.2,32.2
30,24.1,37.9
48.2,26.6,31.2
40,32.2,36.6
27.5,37.9,53.3
44.8,15.6,30
26.6,40,33.3
41.3,10,43.3
31,17.2,40
34.4,31,40
30,16.6,41.3
26.6,19.3,70
25,20.6,35.4
24.1,46.6,58.6
17.2,42.8,46.6
37.9,22.5,28.1
27.5,31,36.6
62,46.6,46.6
45.1,33.3,45.1
25.8,31,33.3
48.2,55.1,46.6
26.6,29,32.2
37.9,10.3,32.2
23.3,31,34.4
31,36.6,46.6
41.3,13.7,36.6
16.6,16.6,36.6
26.6,26.6,27.5
16.6,13.3,41.3
16.1,10.3,40
22.5,27.5,29
16.6,56.6,36.6
17.2,13.3,48.2
10.3,44.8,43.3
48.2,51.7,34.4
31,20,41.9
33.3,23.3,37.9
30,26.6,40
17.2,27.5,27.2
33.3,20.6,34.4
27.5,32.2,31
40,31,33.3
62,16.1,46.6
20.6,22.5,46.6
31,30,37.9
33.3,13.3,40
23.3,20,41.3
20.6,20,36.6
26.6,41.3,30
20,37.9,50
44.8,10.3,48.2
40,26.6,41.3
34.4,26.6,41.9
23.3,27.5,38.7
41.3,26.6,41.3
33.3,17.2,41.3
16.6,24.1,56.6
44.8,26.6,30
33.3,31,26.4
20.6,10.3,44.8
20.6,34.4,40
41.9,31,40
41.9,45.1,36.6
36.6,35.4,60
48.2,48.2,43.3
38.7,41.3,44.8
46.6,43.3,37.9
50,43.3,38.7
50,40.6,51.7
63.3,48.2,38.7
51.7,51.7,29
46.6,46.6,40
53.3,50,41.3
62,46.6,41.3
48.2,41.3,60
44.8,54.8,41.9
46.6,38.7,38.7
55.1,40,45.1
43.3,36.6,58.6
43.3,55.1,41.3
44.8,48.2,44.8
48.2,48.2,38.7
58.6,41.3,41.3
44.8,45.1,38.7
37.9,44.8,48.2
43.3,44.8,43.7
48.2,58,43.3
48.2,38.7,40
33.3,29,38.7
50,32.2,41.3
41.9,40,43.3
40,41.3,40
48.2,44.8,38.7
36.6,48.2,44.8
37.9,43.3,48.2
48.2,44.8,41.3
51.7,37.9,40
44.8,68.9,38.7
36.6,36.6,41.3
55.1,41.3,43.3
40,45.1,41.3
29,36.6,41.9
48.2,41.3,46.6
43.3,43.3,38.7
35.4,38.7,53.3
43.3,33.3,44.8
41.9,40,41.3
56.6,32.2,40
40,48.2,48.2
45.1,33.3,41.9
35.4,36.6,41.3
35.4,36.6,41.9
50,43.3,38.7
40,31,40
43.3,40,41.3
36.6,46.6,56.6
46.6,40,44.8
50,46.6,40
31,51.7,40
50,41.9,48.2
50,38.7,43.3
36.6,35.4,40
44.8,56.6,38.7
40,36.6,44.8
32.2,43.3,44.8
41.9,35.4,46.6
29,40,29
46.6,41.3,28.1
48.2,35.4,44.8
40,44.8,32.2
30,37.5,33.3
33.3,43.3,40
43.3,35.4,40
41.3,62,38.7
40,29,31
35.4,36.6,41.3
43.3,35.4,35.4
41.3,36.6,48.2
38.7,36.6,32.2
50,30,38.7
40,55.1,38.7
32.2,38.7,35.4
33.3,29,48.2
31,29,29
30,41.3,31
37.9,40,46.6
41.3,41.3,36.6
38.7,43.3,26.6
38.7,41.9,34.4
31,40,37.9
41.9,40,60
54.8,35.4,36.6
40,30,28.1
40,32.2,40
38.7,44.8,40
29,37.5,36.6
31,43.3,31
33.3,38.7,43.3
61.2,35.4,37.9
30,29,44.8
35.4,30,38.7
41.3,33.3,33.3
40,30.3,36.6
40,36.6,31.2
33.3,60,46.6
55.1,35.4,35.4
43.3,29,30
43.3,44.8,30
33.3,43.3,40
43.3,40,34.4
40,37.9,31
40,53.3,40
41.9,41.3,40
30,35.4,40.6
28.1,38.7,60
37.5,62,30
41.3,36.6,31
46.6,24.2,34.4
29,48.2,48.2
30,48.2,37.9
29,40,41.3
35.4,40,38.7
60,60,20
53.3,50,26.6
43.3,43.3,16.6
44.8,41.3,37.9
44.8,56.6,22.5
44.8,38.7,22.5
40,41.3,26.6
38.7,41.3,41.3
62,41.9,27.5
40,38.7,25.8
37.5,40,22.5
44.8,40,24.1
44.8,44.8,18.1
40,40,37.9
37.5,46.6,16.6
38.7,48.2,48.2
41.3,40,30
40,37.5,19.3
40,40,50
38.7,51.7,26.6
43.3,40,30
40,41.9,41.3
41.3,34.3,30
40,38.7,21.2
40,41.3,24.1
43.3,40,25.8
44.8,36.6,26.6
41.3,58,37.9
38.7,43.3,23.3
50,44.8,25.8
43.3,41.3,26.6
41.1,56.6,26.6
43.3,41.3,46.6
38.7,46.6,25.8
40,37.5,31
38.7,41.9,30
41.9,41.9,25.8
43.3,53.3,46.6
38.7,44.8,30
38.7,40,29
51.6,44.8,38.7
43.3,40,25.8
44.8,43.3,33.3
44.8,36.3,43.3
44.8,44.8,26.6
40,41.3,29
40,62,41.3
40,37.5,23.3
43.3,40,30
44.8,40,23.3
44.8,37.5,30
58.6,41.9,44.8
41.3,44.8,28.1
48.2,34.4,48.2
38.7,44.8,26.6
39.3,40,44.8
41.3,25.8,36.3
32.2,45.1,45.1
46.8,41.3,50
30,41.3,43.3
30,36.6,51.7
30,36.6,41.3
37.9,40.6,41.3
38.7,33.3,48.2
33.3,28.1,47
38.7,29,51.7
36.6,30,40
38.7,37.9,43.3
33.3,55.1,51.7
31,38.7,44.8
44.8,36.6,41.9
29,44.8,33.3
29,48.2,50
34.4,37.9,44.8
37.5,37.5,43.3
35.4,40,40
25.8,26.6,41.9
38.7,37.9,43.3
32.2,44.8,41.3
30,35.4,46.6
30,36.6,44.8
25.8,32.2,41.3
60,54.8,43.3
38.7,44.8,44.8
41.9,41.3,40
31,27.2,43.3
33.3,37.9,46.6
40,35.4,35.4
43.3,36.6,44.8
32.2,56.6,41.3
31,32.2,40
34.4,25.8,41.3
54.8,35.4,41.3
48.2,31,44.8
25,30.3,40
41.9,34.4,40
41.3,68.9,41.3
38.7,29,44.8
41.3,35.2,40
36.6,40,55.1
36.6,37.9,40
38.7,26.6,43.3
44.8,46.6,40
40,53.1,58.6
29,38.7,40
37.9,37.9,41.3
58.6,38.7,38.7
44.8,38.7,38.7
32.2,40,44.8
27.5,27.5,24.1
37.9,20,20.6
37.9,33.3,25.8
26.6,32.2,22.5
31,22.5,16.6
19.3,44.8,41.3
34.4,27.5,26.6
29,30,23.3
40,31,19.3
30,25,41.3
41.3,29,19.3
36.6,31,26.6
51.7,26.6,17.2
23.3,21.8,24.1
43.3,40,26.6
31,29,13.7
36.6,25.8,22.5
30,33.3,34.4
26.6,19.3,31
29,43.3,37.9
41.3,25.8,34.4
26.6,26.6,33.3
34.4,26.6,24.1
43.3,48.2,23.3
30,23.3,16.1
29,41.3,16.6
45.1,48.3,15.6
31,26.6,41.3
25.8,30,24.1
30,41.9,17.2
25,33.3,12.9
19.3,31,31
44.8,41.9,26.6
28.1,25.8,20
44.8,31,36.6
30,33.3,20
24.2,27.5,16.6
32.2,26.6,44.8
23.3,44.8,31
41.3,25.8,34.4
33.3,20,30
30,25.8,16.1
30,44.8,33.3
29,37.9,19.3
27.5,31,45.1
19.3,28.1,23.3
32.2,35.4,13.3
25.8,23.3,41.9
32.2,29,20.6
27.5,27.5,19.3
18.7,26.6,24.1
40.6,37.5,16.6
22.5,43.3,16.6
29,30,16.1
30,48.2,22.5
30,26.6,30
30,41.9,37.9
22.5,40,20.6
23.3,46.6,20
25.8,41.9,10
40,46.6,10
58,43.3,41.3
43.3,44.8,25.8
43.3,41.9,40
41.9,43.3,30
56.6,44.8,19.3
44.8,44.8,16.6
51.7,46.6,27.5
41.3,40,24.1
53.3,38.7,16.6
50,54.8,34.4
44.8,44.8,20
43.3,37.5,32.2
63.3,43.3,62
41.3,40,26.6
38.7,51.7,20.6
43.3,44.8,51.7
40,41.3,30
43.3,42.4,36.6
44.8,38.7,18.7
46.6,40,23.3
41.3,43.3,29
40,45.1,20
41.9,37.5,33.3
44.8,41.3,23.3
43.3,43.3,31
46.6,41.3,34.4
44.8,44.8,17.2
44.8,44.8,13.3
43.3,50,33.3
41.3,46.6,17.2
43.3,43.3,31
41.3,41.9,43.3
44.8,51.7,17.2
43.3,44.8,25.8
38.7,41.9,20
43.7,45.1,20
48.2,58,26.6
38.7,45.1,13.7
48.2,41.9,19.3
41.3,41.3,38.7
40,61.2,16.1
43.3,35.2,24.1
40,41.3,19.3
41.9,44.8,22.5
37.5,35.4,34.4
43.3,38.7,27.5
43.3,40,23.3
44.8,40,26.6
40,58,25.8
40,44.8,16.1
38.7,48.2,16.1
45.1,23.3,9.6
45.1,41.9,17.2
43.3,37.9,48.2
15.6,37.9,16.6
31,24.1,36.6
16.6,16.1,10
27.5,23.3,20.6
27.5,20.6,36.6
12.9,55.1,13.3
12.5,20,27.5
34.4,31,23.3
38.7,9.3,12.9
20,12.5,26.6
17.2,23.3,31
58.6,38.7,43.3
17.2,29,19.3
27.5,23.3,31
19.3,24.1,16.6
41.3,34.4,19.3
16.6,16.6,30
16.6,31,31
16.1,12.1,16.6
17.2,20,18.7
20.6,23.3,20
20.6,23.3,48.2
20,55.1,41.3
33.3,26.6,36.6
43.3,12.9,12.9
24.1,31,65.5
16.1,12.9,27.5
51.7,24.1,24.1
15.1,9.6,16.6
37.9,28.1,20.6
25.8,46.6,27.5
12.1,20,16.1
20,23.3,16.1
43.3,20,13.3
34.4,25.8,16.1
30,48.2,17.2
20.6,16.6,16.6
16.6,36.6,37.9
17.2,27.5,51.6
13.3,20,10.3
16.6,17.2,13.3
16.1,46.6,35.4
12.9,35.4,16.1
44.8,16.6,12.9
24.1,33.3,34.4
22.5,16.6,10
29,51.7,13.3
55.1,16.6,32.2
25.8,16.6,30
33.3,13.3,20.6
33.3,13.3,23.3
20.6,23.3,23.3
26.6,26.6,23.3
16.1,17.2,17.2
30,37.9,30
30,12.9,19.3
22.5,10,16.6
23.3,20,23.3
13.3,27.5,13.7
23.3,27.5,13.3
55.1,29,36.6
23.3,33.3,30
17.2,21.8,19.3
33.3,23.3,37.9
16.6,40,36.6
12.9,24.1,37.9
27.5,10.3,16.6
12.5,35.4,17.2
12.9,17.2,44.8
16.1,12.9,23.3
19.3,17.2,16.6
12.5,20.6,48.2
19.3,26.6,10.3
20.6,23.3,16.6
23.3,20.6,27.5
23.3,37.9,31
13.3,33.3,38.7
24.1,23.3,20.6
12.9,34.4,27.5
17.2,25.8,10
25,10,38.7
34.4,16.6,16.6
44.8,35.4,30
30,23.3,19.3
23.3,41.3,25.8
36.6,31,29
20.6,48.2,38.7
40,23.3,16.6
26.6,41.3,40
31,27.5,17.2
30,9.6,17.2
34.4,16.1,30
20,12.9,25.8
24.1,26.6,13.7
27.5,27.5,40
31,40,17.2
16.6,17.2,41.3
41.3,24.1,32.2
20,19.3,40
31,58.6,46.6
24.1,22.5,17.2
48.2,30,19.3
20.6,32.2,36.6
9.6,37.9,24.1
41.3,25,31
23.3,33.3,40
16.1,24.1,37.9
16.6,17.2,20.6
43.3,17.2,43.3
13.3,16.1,20.6
13.3,25,31
41.3,31,16.1
40,24.1,20
40,26.6,16.6
26.6,30,16.1
19.3,27.5,30
34.4,32.2,25.8
12.9,13.3,34.4
17.2,13.3,19.3
20,16.6,20.6
30,26.6,24.1
41.3,53.3,34.4
55.1,34.4,41.3
27.5,16.6,20.6
31,40,33.3
28.1,32.2,13.7
24.1,23.3,19.3
25.8,12.9,32.2
33.3,37.9,34.4
34.4,36.6,23.3
20,16.6,24.1
35.4,20.6,26.6
24.1,51.7,16.6
37.9,23.3,36.6
31,10,55.1
20.6,16.1,36.6
27.5,30,23.3
34.4,37.9,26.6
6.8,22.5,17.2
13.3,24.1,46.6
22.5,36.6,27.5
16.6,17.2,55.1
16.6,17.2,30
20,33.3,19.3
24.1,25.8,25.8
36.6,23.3,43.3
19.3,24.1,23.3
22.5,48.2,22.5
36.6,26.6,30
22.5,27.5,23.3
10,26.6,27.5
58.6,31,27.5
18.7,23.3,31
17.2,9.6,17.2
20.6,16.6,22.5
33.3,23.3,37.9
20,36.6,23.3
18.1,19.3,37.9
9.6,25.8,12.9
10.3,20,41.3
27.5,16.6,31
20,16.6,17.2
34.4,24.1,27.5
37.9,48.2,23.3
16.6,25.8,33.3
10,20.6,22.5
16.1,37.9,22.5
16.1,15.6,34.4
20,20.6,22.5
22.5,19.3,23.3
26.6,62,20
24.1,23.3,27.5
27.5,30,18.7
30,31,16.1
70,10.3,23.3
16.6,12.9,37.9
26.6,24.1,26.6
38.7,18.1,23.3
16.6,23.3,16.6
16.6,27.5,25.8
13.7,36.6,43.3
50,44.8,22.5
25.8,27.5,25.8
34.4,20.5,25.8
38.7,17.2,34.4
41.3,48.2,25.8
24.1,26.6,24.1
33.3,17.2,22.5
20,44.8,16.6
43.3,24.1,27.5
23.3,44.8,45.1
34.4,20,31
19.3,9.6,23.3
16.6,46.6,48.2
25.8,23.3,34.4
20,22.5,37.9
10,27.5,25.8
16.1,16.1,16.1
20.6,13.7,31
34.4,31,30.3
41.3,50,24.1
16.1,13.3,24.1
17.2,16.6,20
58.6,31,25.8
20,20.6,31
16.6,27.5,16.6
37.9,13.3,30
17.2,19.3,25.8
16.6,30,16.1
16.6,20,18.1
10,32.2,29
26.6,10.3,26.6
22.5,19.3,21.8
43.3,34.4,32.2
20,12.9,26.6
27.5,24.1,30
34.4,29,30
23.3,26.6,41.3
16.6,23.3,25.8
17.2,16.6,23.3
17.2,13.7,23.3
34.4,23.3,34.4
30,40,20
19.3,20.6,37.9
9.6,17.2,24.1
25.8,13.7,23.3
26.6,37.9,22.5
16.1,29,20
37.9,20,16.6
24.1,36.6,55.1
24.1,27.5,33.3
24.1,40,22.5
16.1,24.1,53.3
26.6,26.6,21.2
23.3,20,31
46.6,10,23.3
20,16.1,13.3
37.9,13.3,35.4
36.6,22.5,17.2
10,31,20
13.3,27.5,29
23.3,31,25.8
17.2,16.1,33.3
24.1,24.1,26.6
27.5,23.3,24.1
20,58.6,35.4
20,19.3,37.9
10,23.3,16.1
19.3,23.3,34.4
34.4,16.6,16.1
30,13.3,37.9
33.3,13.7,23.3
43.3,20.6,34.4
20,33.3,16.6
19.3,31,27.5
20,16.6,37.5
23.3,20,33.3
44.8,38.7,19.3
23.3,10.3,34.4
13.3,40,19.3
16.6,24.1,37.9
9.6,53.3,22.5
13.7,37.9,31
27.5,17.2,23.3
13.7,60,34.4
16.1,16.6,34.4
15.1,27.5,26.6
20,27.5,23.3
31,25.8,55.1
23.3,27.5,26.6
24.1,31,27.5
32.2,43.3,24.1
24.2,16.6,25.8
23.3,13.3,20
16.1,26.6,20
23.3,23.3,29
48.2,43.3,33.3
41.3,46.6,23.3
17.2,30,34.3
75.8,22.5,25.8
23.3,36.6,24.1
51.7,22.5,20.6
23.3,25.8,22.5
40,31,31
23.3,21.2,23.3
24.1,25.8,48.2
48.2,25.8,19.3
18.7,34.4,26.6
37.9,24.1,26.6
13.3,21.2,26.6
16.6,31,24.1
34.4,26.6,19.3
33.3,55.1,22.5
16.1,28.1,26.6
25.8,24.1,16.6
25.8,25,43.3
40,22.5,30
23.3,24.1,20
22.5,34.4,24.1
20.6,22.5,26.6
22.5,26.6,22.5
34.4,25.8,20.6
25.8,31,19.3
31,23.3,27.5
20,44.8,26.6
38.7,38.7,19.3
22.5,16.1,27.5
34.4,27.5,19.3
40,23.3,23.3
30,34.4,29
37.9,19.3,21.8
26.6,37.9,23.3
41.3,23.3,38.7
24.1,20,23.3
23.3,16.6,30
41.9,34.4,23.3
23.3,23.3,33.3
26.6,23.3,21.8
41.9,20,30
19.3,26.6,23.3
12.9,16.1,21.8
41.3,33.3,37.9
30,20,19.3
23.3,27.5,24.1
51.7,46.6,24.1
19.3,28.1,22.5
26.6,34.4,34.4
21.8,34.4,23.3
36.6,16.6,22.5
26.6,33.3,43.3
22.5,36.6,22.5
31,23.3,22.5
22.5,32.2,25
29,20,24.1
13.7,25.8,34.4
17.2,25.8,20
33.3,27.5,31
23.3,22.5,37.9
33.3,26.6,30
25.8,21.8,26.6
43.3,36.6,32.2
43.3,37.9,34.4
17.2,58,34.4
22.5,51.6,21.8
38.7,24.1,37.9
21.2,34.4,44.8
15.6,22.5,21.8
31,27.5,43.3
41.3,19.3,33.3
25,37.9,25.8
24.1,34.4,27.5
26.6,19.3,26.6
30,18.1,40
21.2,27.5,16.6
30,16.6,21.8
21.2,41.3,19.3
30,25.8,
16.1,34.4,
18.1,22.5,
30,37.9,
43.3,19.3,
20,24.1,
31,,
16.1,,
13.3,,
26.6,,
48.2,,
23.3,,
20,,
23.3,,
29,,
20,,
26.6,,
44.8,,
25.8,,
37.9,,
16.1,,
