trial1,trial2,trial3
35.4,51.7,33.3
30,62,55.1
58,36.6,48.2
34.4,61.2,27.5
53.3,62,55.1
55.1,46.6,44.8
41.3,51.7,31
28.1,56.6,36.6
53.1,40,40
55.1,50,33.3
32.2,30,44.8
53.3,40,41.3
62,56.6,30
40,36.6,25.8
33.3,35.4,46.6
30,51.6,40
62,50,65.5
37.9,51.7,51.6
45.1,56.6,46.6
63.3,51.6,36.6
64.5,29,58
35.4,70,51.6
41.3,60,54.8
34.4,48.2,48.2
35.4,41.3,61.2
33.3,25,50
53.3,43.3,44.8
45.1,41.3,36.6
41.9,40,48.3
60,50,50
45.4,66.6,50
36.6,55.1,50
30,45.1,60
56.6,46.6,70
54.8,43.3,30
53.3,43.3,34.3
75.8,68.9,76.6
53.3,46.6,33.3
30,43.3,63.3
45.1,54.5,55.1
23.3,40,40
29,44.8,63.3
56.6,63.3,61.2
53.3,50,68.9
50,41.3,63.3
36.6,51.7,58.6
51.7,30,46.6
37.9,30,53.3
48.2,58.6,67.7
44.8,41.9,62
43.3,35.4,70
56.6,64.5,51.7
24.1,37.9,41.9
31,54.8,54.8
23.3,62,33.3
70,46.6,33.3
50,61.2,40
50,56.6,43.3
61.2,30,56.6
58,23.3,46.6
63.3,56.6,28.1
63.3,28.1,55.1
36.6,33.3,65.5
46.6,79.3,44.8
55.1,61.2,33.3
33.3,51.6,70
33.3,68.9,37.5
54.8,70,45.1
40,63.3,60
60,72.4,55.1
61.2,48.3,58
40,35.4,45.1
56.6,32.2,53.3
54.8,46.6,63.3
43.3,56.6,58.6
50,43.3,41.9
53.3,50,46.6
44.8,30,55.1
36.6,44.8,51.7
62,72.4,58
41.9,53.3,33.3
51.6,56.6,40
50,35.4,68.9
31.2,30,56.6
60,34.3,43.3
30,54.8,29
53.3,65.5,37.9
55.1,46.6,37.9
53.3,50,46.6
50,43.3,29
30,38.7,74.1
32.2,60,55.1
32.2,67.7,41.3
33.3,55.1,38.7
31,48.2,58.6
60,66.6,61.2
40,62,56.6
43.3,60,45.1
41.9,70,45.1
40,51.7,58.6
41.3,48.3,72.4
48.3,61.2,35.4
56.6,36.6,60
63.3,35.4,63.3
51.7,50,70
56.6,26.6,31
62,53.3,27.5
67.7,63.3,63.3
37.9,44.8,51.6
60,68.9,45.1
63.3,50,22.5
36.6,43.3,60
45.1,41.9,45.1
46.6,41.3,44.8
70.9,40,51.7
43.3,51.6,61.2
46.6,50,28.1
60,46.6,51.7
43.3,55.1,40.6
45.4,43.3,79.3
41.9,38.7,26.6
46.6,45.1,48.2
53.3,50,56.2
58.6,29,60
79.3,43.3,44.8
62,32.2,63.3
43.3,55.1,60
41.3,50,66.6
23.3,50,54.8
33.3,43.3,40
48.2,41.3,54.8
46.6,36.6,48.2
41.9,43.3,23.3
45.1,56.6,34.4
38.7,62,43.3
38.7,54.8,46.6
40,44.8,72.4
31,55.1,30
41.9,37.9,48.3
61.2,51.6,40.6
43.3,63.3,64.5
45.1,48.2,37.9
75.8,58.6,60
36.6,34.4,56.6
29,26.6,66.6
50,41.9,33.3
30,74.1,37.9
44.8,55.1,51.6
51.6,40,51.7
35.4,36.6,31
41.3,53.3,27.5
46.6,40,41.3
38.7,41.9,56.6
53.3,51.7,61.2
60,31,23.3
53.3,58.6,23.3
48.2,40,66.6
70,53.3,46.6
58.6,26.6,50
37.9,55.1,63.3
46.6,29,58
45.1,65.5,54.8
56.6,48.2,40
62,40,48.3
58.6,46.6,38.7
60,44.8,45.1
62.5,44.8,54.8
43.3,36.6,45.1
26.6,53.3,41.9
62,35.4,23.3
50,55.1,40
38.7,50,36.6
27.5,48.3,53.3
62.5,51.7,66.6
33.3,36.6,50
43.3,55.1,23.3
56.6,35.4,30
37.9,26.6,33.3
60,60,29
60,35.4,41.9
31,45.1,58
30,48.2,25
50,68.9,40
67.7,33.3,38.7
51.7,26.6,45.1
44.8,55.1,55.1
38.7,36.6,63.3
51.6,45.1,70
36.6,43.3,38.7
36.6,55.1,70.9
33.3,46.6,63.3
41.9,46.6,55.1
43.3,37.9,72.4
40,40,55.1
45.1,43.3,34.4
40,48.3,36.6
45.1,45.1,35.4
51.6,60,26.6
48.2,70,26.6
26.6,20.6,46.8
25.8,40,40
45.1,48.2,31
36.6,53.3,40
53.3,41.3,50
43.3,30,35.4
45.1,40,60
31,46.6,56.6
29,46.6,64.5
41.3,29,58
28.1,37.9,65.5
63.3,40,31.2
44.8,54.8,41.3
33.3,31.2,48.2
53.3,35.4,37.5
40,53.3,23.3
54.5,46.6,46.6
35.4,58.6,36.6
48.3,51.6,33.3
40,51.6,23.3
40,45.1,30
53.3,35.4,26.6
60,43.3,46.6
53.3,31.2,38.7
41.3,36.6,54.8
41.9,56.6,37.9
36.6,50,24.1
64.5,46.6,48.2
35.4,63.3,53.3
45.1,41.3,50
48.2,25,28.1
43.3,33.3,62
55.1,40,51.6
46.6,38.7,51.6
48.2,40,46.6
60,36.6,33.3
58.6,48.2,56.6
54.8,26.6,40
53.3,21.8,50
25.8,29,37.9
51.6,37.5,61.2
40.6,36.6,35.4
43.3,36.6,40
73.3,50,50
72.4,35.4,61.2
46.6,45.1,34.3
38.7,53.1,38.7
37.9,55.1,70
58,33.3,43.3
51.7,22.5,32.2
56.6,45.1,40
55.1,51.7,48.2
50,56.6,60
30,56.6,70.9
55.1,36.6,40
30,50,40.6
37.9,48.3,65.5
40,40,32.2
46.6,67.7,60
50,62,53.3
63.3,36.6,66.6
34.4,62,40
51.5,35.4,41.9
35.4,65.5,50
41.3,51.7,66.6
37.9,41.9,55.1
43.3,53.3,41.3
26.6,43.3,68.9
31,48.2,93.3
62,55.1,46.6
45.1,40,37.5
55.1,63.3,48.2
60,55.1,46.6
76.6,34.4,35.4
62,56.6,46.6
36.6,60,48.3
34.3,36.6,35.4
63.3,36.6,41.9
46.6,51.7,31
13.7,46.6,55.1
56.6,41.3,50
41.9,50,35.4
40,58,30
40,51.6,50
31,53.3,37.5
23.3,43.3,46.6
48.2,43.7,33.3
31,70.9,60
56.6,37.9,56.6
40,36.6,63.3
41.3,43.3,51.6
41.3,41.3,26.6
63.3,37.5,36.6
60,40,41.9
66.6,51.6,35.4
41.3,34.4,29
55.1,33.3,27.5
40.6,31,30
65.5,46.6,41.3
44.8,54.8,65.6
50,58.6,48.3
62,53.3,64.5
48.2,46.6,45.1
58,33.3,36.6
40,60,37.5
63.3,53.3,33.3
60,29,58.6
51.7,50,36.6
46.6,58.6,32.2
41.3,37.9,64.5
55.1,27.5,70
61.2,36.6,55.1
31,45.1,43.3
56.6,67.7,27.5
90,19.3,26.6
48.2,56.6,36.3
39.3,60,45.1
48.3,66.6,36.6
38.7,25.8,24.1
58.6,31,23.3
45.1,29,23.3
44.8,53.3,26.6
63.3,35.4,30
40.6,37.9,48.3
68.9,61.2,37.9
68.9,54.8,12.9
37.9,44.8,31
41.9,43.3,29
32.2,45.1,40
63.3,34.4,73.3
48.2,46.8,48.3
48.2,53.3,62
50,48.3,30
53.3,46.6,41.9
86.6,46.6,46.6
33.3,62,40
58,46.6,59.3
60,51.7,50
50,34.4,31
50,48.2,53.3
60,60,65.5
36.6,50,40
30,60,40
51.7,44.8,35.4
50,37.9,32.2
48.3,58.6,48.2
36.6,41.9,60
41.3,70.9,54.8
40,82.7,36.6
48.2,44.8,33.3
56.6,32.2,40
46.6,40,44.8
43.3,51.7,46.6
50,56.6,50
58,41.9,41.3
29,33.3,51.6
32.2,44.8,46.6
55.1,74.1,53.3
51.7,55.1,41.9
53.3,46.6,54.8
30,37.9,54.8
64.5,43.3,36.6
40,32.2,51.7
48.2,44.8,36.6
35.4,60,36.6
44.8,58.6,40
86.2,50,35.4
44.8,48.3,32.2
50,62.5,36.6
31.2,40,54.8
40,48.3,38.7
56.6,53.1,43.7
61.2,56.6,45.1
30,50,38.7
32.2,56.6,33.3
58.6,38.7,41.3
51.6,60,48.3
60,36.6,72.4
43.3,29,51.7
44.8,83.3,63.3
53.3,54.8,48.3
86.2,46.6,51.6
48.3,35.4,58
50,53.3,48.2
41.3,37.9,41.3
25.8,38.7,34.4
26.6,51.6,35.4
35.4,70,55.1
33.3,55.1,50
31,62,51.7
62,58,48.2
62,50,41.9
60,41.3,35.4
66.6,36.6,54.8
33.3,55.1,58.6
64.5,38.7,68.9
73.3,50,56.6
45.1,70.9,44.8
33.3,50,54.8
55.1,31,33.3
51.6,51.7,43.3
30,53.3,55.1
48.3,63.3,38.7
36.6,40,46.6
40,43.3,43.7
41.3,36.6,46.8
38.7,48.3,60
50,64.5,70
53.3,45.1,67.7
33.3,56.6,43.3
40,40,30
37.9,41.3,51.7
44.8,41.9,30
63.3,30,35.4
46.6,67.7,30
43.3,36.6,41.9
40,40,29
48.2,43.7,32.2
50,28.1,46.6
53.3,53.3,43.7
65.5,65.5,37.9
53.3,56.6,46.6
36.6,66.6,30
60,53.3,58.6
30,43.3,29
40,48.3,65.5
53.3,31,32.2
60,30,38.7
51.6,32.2,55.1
40,37.9,45.1
34.4,68.9,46.6
31,56.6,31.2
29,32.2,46.6
43.3,37.5,48.2
46.6,50,48.2
34.3,76.6,40
46.6,24.1,75.8
56.6,31.2,55.1
56.2,40,31
26.6,45.1,50
23.3,53.3,44.8
48.3,48.3,31
55.1,45.1,55.1
60,60.6,48.2
61.2,36.6,48.2
46.6,35.4,70
43.3,41.9,50
53.3,41.9,24.1
44.8,50,43.3
37.9,44.8,41.3
34.4,46.6,26.6
31,50,48.2
70.9,65.5,60
23.3,34.3,26.6
48.3,30,35.4
37.9,41.3,36.6
53.3,43.3,33.3
70,62,36.6
66.6,58,48.2
64.5,44.8,62
26.6,35.4,43.3
33.3,56.6,46.6
54.8,48.2,41.9
35.4,51.7,51.7
36.6,48.2,48.3
45.1,50,46.8
48.3,38.7,60
56.6,21.8,41.3
51.6,33.3,32.2
46.6,24.1,25.8
41.3,33.3,22.5
72.4,63.3,32.2
44.8,41.3,36.6
50,55.1,40
56.6,30,50
61.2,43.7,56.6
26.6,44.8,58.6
65.5,22.5,43.3
23.3,37.9,32.2
67.7,46.6,44.8
54.5,43.3,26.6
44.8,63.3,27.5
40,51.6,27.5
60,63.3,36.6
24.1,62,36.6
38.7,56.6,43.7
30,30,55.1
76.6,37.9,43.3
29,34.4,51.7
34.4,46.6,33.3
58,54.8,36.6
55.1,38.7,45.1
75.8,48.3,34.3
63.3,43.3,51.6
41.9,27.5,48.3
46.6,62,44.8
41.9,58.6,35.4
63.3,55.1,34.4
40,55.1,29
43.3,48.2,20.6
38.7,35.4,23.3
53.1,34.4,63.3
63.3,45.1,33.3
70,64.5,50
55.1,70,62
61.2,53.3,46.6
79.3,53.3,43.3
27.5,40,48.2
55.1,51.6,43.3
51.7,41.3,60
40,37.9,58.6
40,51.6,40
62,63.3,44.8
33.3,96.7,51.7
36.6,70,46.6
45.1,67.7,51.6
24.1,37.9,40
44.8,44.8,70.9
53.3,46.6,62
68.9,27.5,63.3
50,54.8,55.1
58.6,34.3,53.3
58.6,63.3,63.3
44.8,41.9,41.9
41.3,44.8,48.2
45.1,41.9,32.2
40,63.3,33.3
48.3,41.9,51.7
38.7,50,35.4
79.3,48.3,41.9
41.3,58.6,41.9
40,70,45.1
40,54.8,48.3
50,51.6,36.6
54.8,44.8,60
48.3,32.2,53.3
65.5,33.3,43.3
86.2,34.4,60
44.8,37.9,50
48.2,48.2,79.3
33.3,28.1,46.6
56.6,16.6,65.5
36.6,27.5,43.7
46.6,43.3,54.8
40,46.6,41.3
55.1,41.9,53.3
63.3,68.7,86.2
31,48.2,55.1
33.3,44.8,48.3
35.4,56.6,38.7
65.5,68.9,63.3
65.5,37.5,38.7
40,55.1,45.1
31,40.6,50
43.3,51.6,40
53.1,58,41.3
38.7,50,44.8
55.1,48.2,41.9
51.7,66.6,56.6
68.9,36.6,46.6
62,45.1,41.9
23.3,55.1,48.2
46.6,35.4,46.6
30,34.3,65.5
41.3,50,32.2
64.5,56.6,43.3
51.7,66.6,30
26.6,70,30
56.6,46.6,38.7
46.6,55.1,56.6
32.2,29,46.6
56.6,33.3,27.5
61.2,35.4,43.3
51.6,44.8,56.6
46.6,46.6,48.2
43.3,38.7,66.6
37.9,50,58.6
72.4,48.2,60
41.9,53.3,32.2
46.8,45.1,38.7
38.7,41.9,32.2
48.3,40,40
48.2,40,48.3
45.1,82.7,56.6
58.6,33.3,37.9
31.2,25.8,30
54.8,23.3,34.4
34.4,51.7,50
40,40,50
33.3,37.5,43.3
33.3,51.7,45.1
51.6,36.6,51.7
51.7,38.7,50
60,60,51.7
56.6,51.6,23.3
45.1,74.1,29
63.3,62,41.9
58.6,44.8,46.6
55.1,33.3,70
33.3,33.3,55.1
44.8,50,53.3
38.7,36.6,31.2
50,46.6,29
64.5,51.6,41.3
48.2,46.6,31
25.8,58,40
43.7,51.7,20
62.5,31,60
33.3,55.1,43.3
63.3,56.6,53.3
46.6,70,62
46.6,61.2,56.6
60,58,40
31,51.6,46.6
51.6,48.3,70.9
50,77.4,56.6
50,60,48.2
55.1,46.6,43.3
55.1,35.4,31
38.7,44.8,79.3
65.5,40,62
34.4,43.3,34.4
35.4,48.2,53.1
56.6,56.2,48.2
43.3,40,43.3
41.3,48.3,64.5
37.9,33.3,54.8
56.6,70,58
46.6,37.5,26.6
50,50,44.8
48.3,50,54.8
55.1,44.8,53.3
29,75.8,31
36.6,50,41.9
70.9,70,65.5
37.9,34.4,89.6
40,29,36.6
70,37.9,38.7
25,33.3,56.6
46.6,58.6,30
48.3,28.1,24.1
56.6,48.3,33.3
25,41.3,56.6
41.3,32.2,37.9
38.7,55.1,25.8
53.3,24.1,36.6
48.2,51.7,60
37.9,31,70.9
36.6,41.3,51.7
48.2,40,46.6
37.5,46.6,36.6
70,63.3,36.3
41.3,33.3,43.3
50,43.3,45.1
36.6,20,55.1
66.6,29,53.3
40,41.3,23.3
43.3,40,50
32.2,40.6,37.9
72.4,33.3,50
68.9,66.6,46.6
37.9,40,27.5
72.4,37.9,51.7
41.3,33.3,40
66.6,40,41.9
55.1,60,38.7
23.3,41.9,50
65.5,31,56.6
23.3,43.3,56.6
70,53.3,28.1
54.8,33.3,48.2
58,51.7,56.6
53.3,58.6,53.3
43.3,53.3,36.6
30,29,31
51.6,29,36.6
60,22.5,50
55.1,48.2,29
40,58.6,64.5
29,60,45.1
43.3,44.8,51.7
34.4,26.6,58.6
38.7,43.3,63.3
66.6,40,65.5
26.6,40,38.7
44.8,45.1,45.1
34.4,62,58
25.8,40,38.7
30,30,29
55.1,44.8,26.6
53.3,46.6,56.6
55.1,62,46.6
33.3,30,46.6
48.2,40,53.3
45.1,43.3,65.5
57.5,68.9,30
36.6,41.9,62
40,48.3,53.3
62,54.8,35.4
56.6,23.3,53.3
56.6,32.2,51.7
35.4,27.5,65.5
58.6,17.2,27.5
45.1,41.3,40
32.2,48.2,
30,44.8,
46.6,34.4,
26.6,54.8,
44.8,37.9,
46.6,43.3,
23.3,40,
40,35.4,
51.7,50,
43.3,,
60,,
